石門水庫	20898.0	18944.47	2009-01-01
西勢水庫	42.51	42.33	2009-01-01
新山水庫	828.0	795.34	2009-01-01
翡翠水庫	33621.65	26181.6	2009-01-01
寶山水庫	535.0	311.8	2009-01-01
寶山第二水庫	3134.0	2693.83	2009-01-01
永和山水庫	2809.58	2027.7	2009-01-01
大埔水庫	474.15	445.79	2009-01-01
明德水庫	1244.76	1015.85	2009-01-01
鯉魚潭水庫	11562.0	10740.48	2009-01-01
德基水庫	-1.0	15289.38	2009-01-01
石岡壩	190.12	4.4	2009-01-01
仁義潭水庫	2580.61	1718.07	2009-01-01
蘭潭水庫	925.73	841.87	2009-01-01
白河水庫	691.0	900.0	2009-01-01
烏山頭水庫	8375.0	7089.0	2009-01-01
曾文水庫	49159.0	48373.0	2009-01-01
南化水庫	10158.5	10364.3	2009-01-01
鏡面水庫	101.14	96.22	2009-01-01
澄清湖水庫	270.0	-1.0	2009-01-01
阿公店水庫	1687.0	1280.43	2009-01-01
鳳山水庫	751.17	288.6	2009-01-01
牡丹水庫	2793.04	2253.6	2009-01-01
成功水庫	104.0	63.34	2009-01-01
興仁水庫	63.7	45.4	2009-01-01
太湖水庫	183.5	148.66	2009-01-01
田埔水庫	69.02	59.2	2009-01-01
金沙水庫	57.0	52.7	2009-01-01
石門水庫	20898.0	18854.04	2009-01-08
西勢水庫	42.51	43.13	2009-01-08
新山水庫	828.0	817.42	2009-01-08
翡翠水庫	33621.65	28840.91	2009-01-08
寶山水庫	535.0	279.5	2009-01-08
寶山第二水庫	3134.0	2631.74	2009-01-08
永和山水庫	2809.58	1933.9	2009-01-08
大埔水庫	474.15	424.28	2009-01-08
明德水庫	1244.76	1006.19	2009-01-08
鯉魚潭水庫	11562.0	10487.45	2009-01-08
德基水庫	-1.0	15056.61	2009-01-08
石岡壩	190.12	2.97	2009-01-08
仁義潭水庫	2580.61	1617.52	2009-01-08
蘭潭水庫	925.73	800.23	2009-01-08
白河水庫	691.0	873.0	2009-01-08
烏山頭水庫	8375.0	6774.0	2009-01-08
曾文水庫	49159.0	48501.0	2009-01-08
南化水庫	10158.5	10034.3	2009-01-08
鏡面水庫	101.14	95.46	2009-01-08
澄清湖水庫	270.0	-1.0	2009-01-08
鳳山水庫	751.17	284.3	2009-01-08
牡丹水庫	2793.04	2204.7	2009-01-08
成功水庫	104.0	59.9	2009-01-08
興仁水庫	63.7	45.4	2009-01-08
太湖水庫	183.5	145.43	2009-01-08
田埔水庫	69.02	59.37	2009-01-08
金沙水庫	57.0	46.41	2009-01-08
阿公店水庫	1687.0	1246.68	2009-01-07
石門水庫	20898.0	18642.02	2009-01-15
西勢水庫	42.51	36.53	2009-01-15
新山水庫	828.0	827.08	2009-01-15
翡翠水庫	33621.65	28858.19	2009-01-15
寶山水庫	535.0	233.6	2009-01-15
寶山第二水庫	3134.0	2600.38	2009-01-15
永和山水庫	2809.58	1811.5	2009-01-15
大埔水庫	474.15	408.06	2009-01-15
明德水庫	1244.76	990.93	2009-01-15
鯉魚潭水庫	11562.0	10133.23	2009-01-15
德基水庫	-1.0	14494.91	2009-01-15
