石門水庫	20134.0	13882.07	2016-01-01
西勢水庫	43.69	43.41	2016-01-01
新山水庫	1002.0	685.44	2016-01-01
翡翠水庫	33550.5	30901.66	2016-01-01
寶山水庫	538.0	463.19	2016-01-01
寶山第二水庫	3147.18	2380.13	2016-01-01
永和山水庫	2809.58	2171.66	2016-01-01
大埔水庫	529.9	497.19	2016-01-01
明德水庫	1276.0	849.27	2016-01-01
鯉魚潭水庫	11546.97	8882.14	2016-01-01
德基水庫	15000.0	14621.75	2016-01-01
石岡壩	113.3	12.21	2016-01-01
霧社水庫	4505.57	2880.75	2016-01-01
日月潭水庫	13045.54	12629.47	2016-01-01
仁義潭水庫	2528.1	1648.82	2016-01-01
蘭潭水庫	926.9	651.53	2016-01-01
白河水庫	691.03	59.0	2016-01-01
烏山頭水庫	7982.0	6068.0	2016-01-01
曾文水庫	46801.0	36751.0	2016-01-01
南化水庫	9713.48	7384.25	2016-01-01
鏡面水庫	103.0	84.6	2016-01-01
澄清湖水庫	262.95	252.0	2016-01-01
阿公店水庫	1646.63	1459.42	2016-01-01
鳳山水庫	751.17	371.0	2016-01-01
牡丹水庫	2643.6	1931.85	2016-01-01
成功水庫	121.01	76.25	2016-01-01
興仁水庫	73.14	40.8	2016-01-01
太湖水庫	168.9	165.37	2016-01-01
田埔水庫	67.79	59.18	2016-01-01
金沙水庫	57.0	57.0	2016-01-01
后沃水庫	41.63	5.38	2016-01-01
石門水庫	20134.0	14087.43	2016-01-08
西勢水庫	43.69	43.23	2016-01-08
新山水庫	1002.0	704.44	2016-01-08
翡翠水庫	33550.5	31347.08	2016-01-08
寶山水庫	538.0	482.31	2016-01-08
寶山第二水庫	3147.18	2590.16	2016-01-08
永和山水庫	2809.58	2337.87	2016-01-08
大埔水庫	529.9	513.46	2016-01-08
明德水庫	1276.0	916.99	2016-01-08
鯉魚潭水庫	11546.97	9154.51	2016-01-08
德基水庫	15000.0	14859.18	2016-01-08
石岡壩	113.3	11.67	2016-01-08
霧社水庫	4505.57	3426.05	2016-01-08
日月潭水庫	13045.54	12890.3	2016-01-08
仁義潭水庫	2528.1	1655.18	2016-01-08
蘭潭水庫	926.9	600.78	2016-01-08
白河水庫	691.03	42.0	2016-01-08
烏山頭水庫	7828.0	6590.0	2016-01-08
曾文水庫	46801.0	36229.0	2016-01-08
南化水庫	9713.48	7338.0	2016-01-08
鏡面水庫	103.0	86.1	2016-01-08
澄清湖水庫	262.95	243.0	2016-01-08
阿公店水庫	1646.63	1496.13	2016-01-08
鳳山水庫	751.17	378.28	2016-01-08
牡丹水庫	2643.6	1918.32	2016-01-08
成功水庫	121.01	74.8	2016-01-08
興仁水庫	73.14	40.8	2016-01-08
太湖水庫	168.9	162.86	2016-01-08
田埔水庫	67.79	58.23	2016-01-08
金沙水庫	57.0	55.0	2016-01-08
后沃水庫	41.63	5.9	2016-01-08
石門水庫	20134.0	14510.99	2016-01-15
西勢水庫	43.69	43.41	2016-01-15
新山水庫	1002.0	720.28	2016-01-15
翡翠水庫	33550.5	31499.0	2016-01-15
寶山水庫	538.0	503.03	2016-01-15
寶山第二水庫	3147.18	2983.36	2016-01-15
永和山水庫	2809.58	2556.1	2016-01-15
大埔水庫	529.9	514.55	2016-01-15
明德水庫	1276.0	1095.04	2016-01-15
鯉魚潭水庫	11546.97	9584.29	2016-01-15
德基水庫	15000.0	14729.35	2016-01-15
石岡壩	113.3	11.26	2016-01-15
霧社水庫	4505.57	3897.97	2016-01-15
日月潭水庫	13045.54	12662.03	2016-01-15
仁義潭水庫	2528.1	1631.88	2016-01-15
蘭潭水庫	926.9	539.58	2016-01-15
