石門水庫	19740.5	16330.01	2019-01-01
西勢水庫	43.69	43.69	2019-01-01
新山水庫	1002.0	869.28	2019-01-01
寶山水庫	503.5	389.09	2019-01-01
寶山第二水庫	3147.18	1876.48	2019-01-01
永和山水庫	2998.94	1904.52	2019-01-01
大埔水庫	529.9	417.51	2019-01-01
明德水庫	1276.0	679.69	2019-01-01
鯉魚潭水庫	11448.69	7154.08	2019-01-01
德基水庫	15082.2	9820.82	2019-01-01
石岡壩	145.07	19.5	2019-01-01
霧社水庫	4019.82	2894.39	2019-01-01
日月潭水庫	12857.64	12092.58	2019-01-01
湖山水庫	5085.0	2954.79	2019-01-01
仁義潭水庫	2531.9	1761.97	2019-01-01
蘭潭水庫	925.8	587.71	2019-01-01
白河水庫	691.03	44.0	2019-01-01
烏山頭水庫	7828.0	6122.0	2019-01-01
曾文水庫	51002.0	32620.0	2019-01-01
南化水庫	9338.1	7372.44	2019-01-01
鏡面水庫	103.0	77.35	2019-01-01
澄清湖水庫	262.95	265.0	2019-01-01
阿公店水庫	1588.67	1168.73	2019-01-01
鳳山水庫	751.17	396.72	2019-01-01
牡丹水庫	2632.91	1893.76	2019-01-01
成功水庫	104.0	71.3	2019-01-01
興仁水庫	63.7	18.1	2019-01-01
太湖水庫	168.9	132.8	2019-01-01
田埔水庫	67.79	65.19	2019-01-01
金沙水庫	57.0	42.13	2019-01-01
后沃水庫	41.63	31.58	2019-01-01
石門水庫	19740.5	15946.22	2019-01-08
西勢水庫	43.69	43.69	2019-01-08
新山水庫	1002.0	876.98	2019-01-08
翡翠水庫	33550.5	30946.15	2019-01-08
寶山水庫	503.5	374.55	2019-01-08
寶山第二水庫	3147.18	1773.86	2019-01-08
永和山水庫	2998.94	1799.31	2019-01-08
大埔水庫	529.9	435.95	2019-01-08
明德水庫	1276.0	677.48	2019-01-08
鯉魚潭水庫	11448.69	6843.22	2019-01-08
德基水庫	15082.2	9566.32	2019-01-08
石岡壩	145.07	24.89	2019-01-08
霧社水庫	4019.82	2428.62	2019-01-08
日月潭水庫	12857.64	12397.47	2019-01-08
湖山水庫	5085.0	2857.62	2019-01-08
仁義潭水庫	2531.9	1708.77	2019-01-08
蘭潭水庫	925.8	556.04	2019-01-08
白河水庫	691.03	44.0	2019-01-08
烏山頭水庫	7828.0	5699.0	2019-01-08
曾文水庫	51002.0	32699.0	2019-01-08
南化水庫	9338.1	7070.82	2019-01-08
鏡面水庫	103.0	74.51	2019-01-08
澄清湖水庫	262.95	264.0	2019-01-08
阿公店水庫	1509.86	1088.49	2019-01-08
鳳山水庫	751.17	431.1	2019-01-08
牡丹水庫	2632.91	1840.57	2019-01-08
成功水庫	104.0	70.5	2019-01-08
興仁水庫	63.7	15.5	2019-01-08
太湖水庫	168.9	131.51	2019-01-08
田埔水庫	67.79	64.32	2019-01-08
金沙水庫	57.0	50.27	2019-01-08
后沃水庫	41.63	31.58	2019-01-08
石門水庫	19740.5	15329.03	2019-01-15
西勢水庫	43.69	43.69	2019-01-15
新山水庫	1002.0	880.41	2019-01-15
翡翠水庫	33550.5	30246.59	2019-01-15
寶山水庫	503.5	345.4	2019-01-15
寶山第二水庫	3147.18	1654.99	2019-01-15
永和山水庫	2998.94	1688.61	2019-01-15
大埔水庫	529.9	449.43	2019-01-15
明德水庫	1276.0	667.53	2019-01-15
鯉魚潭水庫	11448.69	6508.75	2019-01-15
德基水庫	15082.2	9238.48	2019-01-15
石岡壩	145.07	25.81	2019-01-15
霧社水庫	4019.82	1967.39	2019-01-15
日月潭水庫	12857.64	12405.51	2019-01-15
湖山水庫	5085.0	2759.0	2019-01-15
仁義潭水庫	2531.9	1653.82	2019-01-15
蘭潭水庫	925.8	516.38	2019-01-15
白河水庫	691.03	44.0	2019-01-15
烏山頭水庫	7828.0	5275.0	2019-01-15
曾文水庫	51002.0	32715.0	2019-01-15
南化水庫	9338.1	6784.4	2019-01-15
鏡面水庫	103.0	73.61	2019-01-15
澄清湖水庫	262.95	251.0	2019-01-15
阿公店水庫	1509.86	1015.3	2019-01-15
鳳山水庫	751.17	388.61	2019-01-15
牡丹水庫	2632.91	1780.94	2019-01-15
成功水庫	104.0	68.1	2019-01-15
興仁水庫	63.7	14.3	2019-01-15
太湖水庫	168.9	130.54	2019-01-15
田埔水庫	67.79	64.32	2019-01-15
金沙水庫	57.0	50.27	2019-01-15
后沃水庫	41.63	31.2	2019-01-15
石門水庫	19740.5	14993.78	2019-01-22
西勢水庫	43.69	43.69	2019-01-22
新山水庫	1002.0	892.66	2019-01-22
翡翠水庫	33550.5	30114.45	2019-01-22
寶山水庫	503.5	335.84	2019-01-22
寶山第二水庫	3147.18	1560.43	2019-01-22
永和山水庫	2998.94	1580.51	2019-01-22
大埔水庫	529.9	475.76	2019-01-22
明德水庫	1276.0	665.32	2019-01-22
鯉魚潭水庫	11448.69	6232.48	2019-01-22
德基水庫	15082.2	9016.68	2019-01-22
石岡壩	145.07	16.8	2019-01-22
霧社水庫	4019.82	1458.72	2019-01-22
日月潭水庫	12857.64	12510.15	2019-01-22
湖山水庫	5085.0	2663.52	2019-01-22
仁義潭水庫	2531.9	1599.31	2019-01-22
蘭潭水庫	925.8	482.73	2019-01-22
白河水庫	691.03	44.0	2019-01-22
烏山頭水庫	7828.0	6611.0	2019-01-22
曾文水庫	51002.0	30180.0	2019-01-22
南化水庫	9338.1	6485.06	2019-01-22
鏡面水庫	103.0	72.91	2019-01-22
澄清湖水庫	262.95	255.0	2019-01-22
阿公店水庫	1509.86	1237.9	2019-01-22
鳳山水庫	751.17	380.56	2019-01-22
牡丹水庫	2632.91	1753.2	2019-01-22
成功水庫	104.0	66.7	2019-01-22
興仁水庫	63.7	13.1	2019-01-22
太湖水庫	168.9	129.57	2019-01-22
田埔水庫	67.79	64.32	2019-01-22
金沙水庫	57.0	50.27	2019-01-22
后沃水庫	41.63	30.79	2019-01-22
石門水庫	19740.5	13598.5	2019-02-01
西勢水庫	43.69	26.01	2019-02-01
新山水庫	1002.0	892.17	2019-02-01
