石門水庫	20134.0	17571.62	2017-01-01
西勢水庫	43.69	42.05	2017-01-01
新山水庫	828.0	610.82	2017-01-01
翡翠水庫	33550.5	-1.0	2017-01-01
寶山水庫	538.0	485.3	2017-01-01
寶山第二水庫	3147.18	2719.08	2017-01-01
永和山水庫	2998.94	2504.82	2017-01-01
大埔水庫	529.9	503.67	2017-01-01
明德水庫	1276.0	865.52	2017-01-01
鯉魚潭水庫	11546.97	8937.85	2017-01-01
德基水庫	15000.0	14432.54	2017-01-01
石岡壩	142.17	11.8	2017-01-01
霧社水庫	4505.57	4347.96	2017-01-01
日月潭水庫	13029.23	12281.09	2017-01-01
湖山水庫	5085.0	132.07	2017-01-01
仁義潭水庫	2528.1	1440.07	2017-01-01
蘭潭水庫	926.9	792.65	2017-01-01
白河水庫	691.03	90.0	2017-01-01
烏山頭水庫	7828.0	5968.0	2017-01-01
曾文水庫	46801.0	40229.0	2017-01-01
南化水庫	9689.26	7655.1	2017-01-01
鏡面水庫	103.0	87.06	2017-01-01
澄清湖水庫	262.95	257.0	2017-01-01
阿公店水庫	1629.0	1532.63	2017-01-01
鳳山水庫	751.17	434.88	2017-01-01
牡丹水庫	2641.21	2172.44	2017-01-01
成功水庫	121.01	75.09	2017-01-01
興仁水庫	73.14	41.9	2017-01-01
太湖水庫	168.9	166.89	2017-01-01
田埔水庫	67.79	67.79	2017-01-01
金沙水庫	57.0	57.0	2017-01-01
后沃水庫	41.63	41.63	2017-01-01
石門水庫	20134.0	17006.65	2017-01-08
西勢水庫	43.69	29.02	2017-01-08
新山水庫	828.0	634.6	2017-01-08
翡翠水庫	33550.5	29763.06	2017-01-08
寶山水庫	538.0	475.74	2017-01-08
寶山第二水庫	3147.18	2596.06	2017-01-08
永和山水庫	2998.94	2419.74	2017-01-08
大埔水庫	529.9	492.88	2017-01-08
明德水庫	1276.0	850.63	2017-01-08
鯉魚潭水庫	11546.97	8632.73	2017-01-08
德基水庫	15000.0	14263.78	2017-01-08
石岡壩	142.17	31.63	2017-01-08
霧社水庫	4505.57	4184.22	2017-01-08
日月潭水庫	13029.23	12410.09	2017-01-08
湖山水庫	5085.0	132.07	2017-01-08
仁義潭水庫	2528.1	1336.46	2017-01-08
蘭潭水庫	926.9	739.07	2017-01-08
白河水庫	691.03	90.0	2017-01-08
烏山頭水庫	7828.0	5674.0	2017-01-08
曾文水庫	46801.0	40347.0	2017-01-08
南化水庫	9689.26	7267.6	2017-01-08
鏡面水庫	103.0	85.35	2017-01-08
澄清湖水庫	262.95	235.0	2017-01-08
阿公店水庫	1629.0	1515.39	2017-01-08
鳳山水庫	751.17	408.0	2017-01-08
牡丹水庫	2641.21	2119.67	2017-01-08
成功水庫	121.01	72.7	2017-01-08
興仁水庫	73.14	40.8	2017-01-08
太湖水庫	168.9	166.89	2017-01-08
田埔水庫	67.79	67.79	2017-01-08
金沙水庫	57.0	55.3	2017-01-08
后沃水庫	41.63	41.63	2017-01-08
石門水庫	20134.0	16430.77	2017-01-15
西勢水庫	43.69	43.69	2017-01-15
新山水庫	828.0	677.88	2017-01-15
翡翠水庫	33550.5	29239.12	2017-01-15
寶山水庫	538.0	458.42	2017-01-15
寶山第二水庫	3147.18	2480.72	2017-01-15
永和山水庫	2998.94	2344.58	2017-01-15
大埔水庫	529.9	508.01	2017-01-15
明德水庫	1276.0	836.75	2017-01-15
鯉魚潭水庫	11546.97	8352.46	2017-01-15
德基水庫	15000.0	13982.64	2017-01-15
石岡壩	142.17	18.11	2017-01-15
霧社水庫	4505.57	4189.29	2017-01-15
日月潭水庫	13029.23	12345.54	2017-01-15
湖山水庫	5085.0	132.07	2017-01-15
仁義潭水庫	2528.1	1258.68	2017-01-15
蘭潭水庫	926.9	657.9	2017-01-15
白河水庫	691.03	90.0	2017-01-15
烏山頭水庫	7828.0	5371.0	2017-01-15
曾文水庫	46801.0	40331.0	2017-01-15
南化水庫	9689.26	6870.4	2017-01-15
鏡面水庫	103.0	83.63	2017-01-15
澄清湖水庫	262.95	257.0	2017-01-15
阿公店水庫	1629.0	1433.13	2017-01-15
鳳山水庫	751.17	386.66	2017-01-15
牡丹水庫	2641.21	2062.85	2017-01-15
成功水庫	121.01	70.3	2017-01-15
興仁水庫	73.14	38.5	2017-01-15
太湖水庫	168.9	165.63	2017-01-15
田埔水庫	67.79	67.79	2017-01-15
金沙水庫	57.0	55.3	2017-01-15
后沃水庫	41.63	41.63	2017-01-15
石門水庫	20134.0	15697.44	2017-01-22
西勢水庫	43.69	43.41	2017-01-22
新山水庫	828.0	717.64	2017-01-22
翡翠水庫	33550.5	29282.61	2017-01-22
寶山水庫	538.0	433.89	2017-01-22
寶山第二水庫	3147.18	2373.98	2017-01-22
永和山水庫	2998.94	-1.0	2017-01-22
大埔水庫	529.9	498.27	2017-01-22
明德水庫	1276.0	820.63	2017-01-22
鯉魚潭水庫	11546.97	8049.85	2017-01-22
德基水庫	15000.0	13642.48	2017-01-22
石岡壩	142.17	17.68	2017-01-22
霧社水庫	4505.57	4174.09	2017-01-22
日月潭水庫	13029.23	12612.52	2017-01-22
湖山水庫	5085.0	132.07	2017-01-22
仁義潭水庫	2528.1	1197.9	2017-01-22
蘭潭水庫	926.9	612.45	2017-01-22
白河水庫	691.03	90.0	2017-01-22
烏山頭水庫	7828.0	5436.0	2017-01-22
曾文水庫	46801.0	37539.0	2017-01-22
南化水庫	9689.26	6548.4	2017-01-22
鏡面水庫	103.0	81.71	2017-01-22
澄清湖水庫	262.95	255.0	2017-01-22
阿公店水庫	1629.0	1352.7	2017-01-22
鳳山水庫	751.17	412.88	2017-01-22
牡丹水庫	2641.21	2004.94	2017-01-22
成功水庫	121.01	67.9	2017-01-22
興仁水庫	73.14	35.6	2017-01-22
太湖水庫	168.9	164.87	2017-01-22
田埔水庫	67.79	67.79	2017-01-22
金沙水庫	57.0	54.37	2017-01-22
后沃水庫	41.63	41.63	2017-01-22
石門水庫	20134.0	14595.26	2017-02-01
西勢水庫	43.69	41.21	2017-02-01
新山水庫	828.0	771.2	2017-02-01
翡翠水庫	33550.5	28745.22	2017-02-01
寶山水庫	538.0	382.49	2017-02-01
寶山第二水庫	3147.18	2190.06	2017-02-01
永和山水庫	2998.94	2127.71	2017-02-01
大埔水庫	529.9	490.73	2017-02-01
明德水庫	1276.0	790.86	2017-02-01
鯉魚潭水庫	11546.97	7578.34	2017-02-01
德基水庫	15000.0	13070.81	2017-02-01
石岡壩	142.17	17.68	2017-02-01
霧社水庫	4505.57	4055.98	2017-02-01
日月潭水庫	13029.23	12168.58	2017-02-01
湖山水庫	5085.0	132.07	2017-02-01
仁義潭水庫	2528.1	1119.07	2017-02-01
蘭潭水庫	926.9	570.93	2017-02-01
白河水庫	691.03	90.0	2017-02-01
烏山頭水庫	7828.0	5799.0	2017-02-01
曾文水庫	46801.0	33285.0	2017-02-01
南化水庫	9689.26	6073.3	2017-02-01
鏡面水庫	103.0	78.5	2017-02-01
澄清湖水庫	262.95	248.0	2017-02-01
阿公店水庫	1629.0	1237.07	2017-02-01
鳳山水庫	751.17	430.44	2017-02-01
牡丹水庫	2641.21	1921.01	2017-02-01
成功水庫	121.01	62.92	2017-02-01
興仁水庫	73.14	32.9	2017-02-01
太湖水庫	168.9	162.86	2017-02-01
